Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Dusan Tadic,Attacking Midfield,25,FC Twente,Eredivisie,Netherlands,Southampton,Premier League,England,2014-2015,10000000,14000000
Ryan Bertrand,Left-Back,25,Chelsea,Premier League,England,Southampton,Premier League,England,2014-2015,6000000,13340000
Loïc Rémy,Centre-Forward,27,QPR,Premier League,England,Chelsea,Premier League,England,2014-2015,12000000,13200000
Lucas Silva,Central Midfield,21,Cruzeiro,Serie A,Italy,Real Madrid,LaLiga,Spain,2014-2015,12000000,13000000
Aymen Abdennour,Centre-Back,24,Toulouse,Ligue 1,France,Monaco,Ligue 1,France,2014-2015,6000000,13000000
Konstantinos Manolas,Centre-Back,23,Olympiacos,Super League,Super League,AS Roma,Serie A,Italy,2014-2015,6000000,13000000
Ben Davies,Left-Back,21,Swansea,Premier League,England,Spurs,Premier League,England,2014-2015,5500000,12650000
Brown Ideye,Centre-Forward,25,Dynamo Kyiv,Premier Liga,Russia,West Brom,Premier League,England,2014-2015,7000000,12630000
Divock Origi,Centre-Forward,19,LOSC Lille,Ligue 1,France,Liverpool,Premier League,England,2014-2015,1000000,12630000
Jack Rodwell,Defensive Midfield,23,Man City,Premier League,England,Sunderland,Premier League,England,2014-2015,12000000,12600000
Manolo Gabbiadini,Centre-Forward,23,Sampdoria,Serie A,Italy,SSC Napoli,Serie A,Italy,2014-2015,12000000,12500000
Fraser Forster,Goalkeeper,26,Celtic,Premiership,Premiership,Southampton,Premier League,England,2014-2015,4500000,12500000
Marc-André ter Stegen,Goalkeeper,22,Bor. M'gladbach,1.Bundesliga,German,FC Barcelona,LaLiga,Spain,2014-2015,20000000,12000000
Nicolás Otamendi,Centre-Back,26,FC Porto,Liga NOS,Portugal,Valencia CF,LaLiga,Spain,2014-2015,12000000,12000000
Kevin Kampl,Central Midfield,24,RB Salzburg,Bundesliga,Germany,Bor. Dortmund,1.Bundesliga,Germany,2014-2015,9000000,12000000
Emre Can,Defensive Midfield,20,Bay. Leverkusen,1.Bundesliga,German,Liverpool,Premier League,England,2014-2015,7500000,12000000
Abel Hernández,Centre-Forward,24,US Palermo,Serie A,Italy,Hull City,Premier League,England,2014-2015,5000000,12000000
Claudio Bravo,Goalkeeper,31,Real Sociedad,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2014-2015,4000000,12000000
Ross McCormack,Second Striker,27,Leeds,Championship,Championship,Fulham,Championship,Championship,2014-2015,2600000,11800000
Quincy Promes,Left Winger,22,FC Twente,Eredivisie,Netherlands,Spartak Moscow,Premier Liga,Russia,2014-2015,3000000,11500000
Vincent Aboubakar,Centre-Forward,22,FC Lorient,Ligue 1,France,FC Porto,Liga NOS,Portugal,2014-2015,5500000,11200000
